,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,1899.18579984,10082.0224001,36.5692000389,0.0025999546051,0.115200042725,exp1,ccs.ornl.gov,4112,2048,pilot.0000,rp.session.titan-ext1.aleang9.017246.0002
1,29298.8918002,9362.37649989,36.4577000141,0.00279998779297,0.117300033569,exp1,nid03682.10.128.14.127,4112,2048,pilot.0000,rp.session.titan-ext1.aleang9.017246.0006
2,76683.806,10406.3492999,36.8048000336,0.0025999546051,0.115499973297,exp1,nid14004.10.128.55.35,4112,2048,pilot.0000,rp.session.titan-ext1.aleang9.017247.0000
3,267.971100092,9720.14400005,39.2658998966,0.00270009040833,0.110599994659,exp1,ccs.ornl.gov,4112,2048,pilot.0000,rp.session.titan-ext1.aleang9.017248.0000
4,243.787499905,9503.00480008,36.0987999439,0.00250005722046,0.115700006485,exp1,nid13615.10.128.53.154,4112,2048,pilot.0000,rp.session.titan-ext1.aleang9.017248.0002
5,3193.58420014,9508.64159989,34.4224998951,0.00290012359619,0.121599912643,exp1,nid02907.10.128.11.114,4112,2048,pilot.0000,rp.session.titan-ext1.aleang9.017248.0003
6,6788.72049999,11104.3534,43.7404999733,0.00239992141724,0.113899946213,exp1,,4112,2048,pilot.0000,rp.session.titan-ext1.aleang9.017248.0005
7,11801.7472,10892.0810001,37.5392000675,0.00249981880188,0.113300085068,exp1,nid08374.10.128.32.247,4112,2048,pilot.0000,rp.session.titan-ext6.aleang9.017249.0000
8,3148.66460013,9374.87319994,35.212100029,0.00230002403259,0.119499921799,exp1,nid04167.10.128.16.104,4112,2048,pilot.0000,rp.session.titan-ext6.aleang9.017249.0003
9,363.384200096,9385.57500005,154.237900019,0.00269985198975,0.118900060654,exp1,ccs.ornl.gov,4112,2048,pilot.0000,rp.session.titan-ext6.aleang9.017249.0004
10,90.2210998535,9487.46430016,35.3731000423,0.0025999546051,0.112900018692,exp1,ccs.ornl.gov,4112,2048,pilot.0000,rp.session.titan-ext6.aleang9.017249.0005
11,25108.4275,9458.82459998,35.9825000763,0.00230002403259,0.121299982071,exp1,nid03204.10.128.12.157,4112,2048,pilot.0000,rp.session.titan-ext6.aleang9.017250.0000
12,91.1906001568,9597.96319985,35.4497997761,0.00240015983582,0.118200063705,exp1,ccs.ornl.gov,4112,2048,pilot.0000,rp.session.titan-ext6.aleang9.017250.0001
13,995.501299858,9302.90130019,35.4442999363,0.00230002403259,0.118200063705,exp1,,4112,2048,pilot.0000,rp.session.titan-ext6.aleang9.017250.0002
14,4175.43290019,9403.94339991,36.3019998074,0.00230002403259,0.115299940109,exp1,,4112,2048,pilot.0000,rp.session.titan-ext6.aleang9.017250.0003
15,81.5228002071,9501.54219985,38.9085998535,0.00270009040833,0.11579990387,exp1,ccs.ornl.gov,4112,2048,pilot.0000,rp.session.titan-ext6.aleang9.017250.0004
16,97.8143000603,9403.25580001,37.0639998913,0.0025999546051,0.11760020256,exp1,,4112,2048,pilot.0000,rp.session.titan-ext6.aleang9.017250.0005
17,62833.5554998,4775.59710002,39.1348001957,0.00269985198975,0.116700172424,exp2,nid04072.10.128.16.9,8208,2048,pilot.0000,rp.session.titan-ext1.aleang9.017242.0003
18,5797.60280013,4910.92379999,35.0692000389,0.00279998779297,0.113999843597,exp2,nid04614.10.128.18.43,8208,2048,pilot.0000,rp.session.titan-ext1.aleang9.017243.0000
19,122313.0711,4801.87459993,34.8578000069,0.0025999546051,0.122200012207,exp2,,8208,2048,pilot.0000,rp.session.titan-ext1.aleang9.017243.0001
20,5661.24729991,4808.45029998,33.3033001423,0.0025999546051,0.115200042725,exp2,ccs.ornl.gov,8208,2048,pilot.0000,rp.session.titan-ext1.aleang9.017245.0000
21,6968.95499992,4882.70150018,32.725399971,0.00230002403259,0.113300085068,exp2,ccs.ornl.gov,8208,2048,pilot.0000,rp.session.titan-ext1.aleang9.017245.0001
22,23988.7841001,4902.5236001,33.6350998878,0.00239992141724,0.110200166702,exp2,nid06881.10.128.27.24,8208,2048,pilot.0000,rp.session.titan-ext1.aleang9.017245.0007
23,88.1730999947,5081.19599986,34.290899992,0.00290012359619,0.114300012589,exp2,nid06080.10.128.23.239,8208,2048,pilot.0000,rp.session.titan-ext1.aleang9.017245.0008
24,1507.59299994,5302.46549988,38.1075000763,0.00309991836548,0.11360001564,exp2,,8208,2048,pilot.0000,rp.session.titan-ext1.aleang9.017246.0000
25,565.637900114,5302.09639978,37.4000000954,0.00279998779297,0.115700006485,exp2,,8208,2048,pilot.0000,rp.session.titan-ext1.aleang9.017246.0001
26,78878.8234999,3001.73460007,30.2630000114,0.00230002403259,0.115700006485,exp3,,16400,2048,pilot.0000,rp.session.titan-ext1.aleang9.017245.0006
27,168749.3308,2501.57720017,31.1442000866,0.00300002098083,0.115900039673,exp3,,16400,2048,pilot.0000,rp.session.titan-ext1.aleang9.017246.0005
28,77959.6173999,3002.9531002,30.3984000683,0.00249981880188,0.157900094986,exp3,,16400,2048,pilot.0000,rp.session.titan-ext1.aleang9.017248.0004
29,147.209900141,3401.43449998,31.405299902,0.00270009040833,0.110500097275,exp3,,16400,2048,pilot.0000,rp.session.titan-ext1.aleang9.017249.0001
